experiment_id,metric,platform_a,value_a,platform_b,value_b,delta,status
cal_ensemble_fuse_abc@FUSE,KGE,macos_p3repro,0.870525,wsl,0.870525,0.000000,OK
cal_ensemble_fuse_basin_hopping@FUSE,KGE,macos_p3repro,0.862520,wsl,0.848325,0.014195,OK
cal_ensemble_fuse_bayesian_opt@FUSE,KGE,macos_p3repro,0.835567,wsl,0.835567,0.000000,OK
cal_ensemble_fuse_cmaes@FUSE,KGE,macos_p3repro,0.909039,wsl,0.908427,0.000612,OK
cal_ensemble_fuse_dds@FUSE,KGE,macos_p3repro,0.909638,wsl,0.909638,0.000000,OK
cal_ensemble_fuse_de@FUSE,KGE,macos_p3repro,0.908488,wsl,0.908488,0.000000,OK
cal_ensemble_fuse_dream@FUSE,KGE,macos_p3repro,0.872713,wsl,0.872713,0.000000,OK
cal_ensemble_fuse_ga@FUSE,KGE,macos_p3repro,0.887208,wsl,0.887208,0.000000,OK
cal_ensemble_fuse_glue@FUSE,KGE,macos_p3repro,0.851469,wsl,0.851469,0.000000,OK
cal_ensemble_fuse_nelder_mead@FUSE,KGE,macos_p3repro,0.894987,wsl,0.895090,0.000103,OK
cal_ensemble_fuse_nsga2@FUSE,KGE,macos_p3repro,0.898192,wsl,0.907447,0.009255,OK
cal_ensemble_fuse_pso@FUSE,KGE,macos_p3repro,0.910320,wsl,0.910320,0.000000,OK
cal_ensemble_fuse_sa@FUSE,KGE,macos_p3repro,0.891930,wsl,0.891930,0.000000,OK
cal_ensemble_fuse_sceua@FUSE,KGE,macos_p3repro,0.890818,wsl,0.890818,0.000000,OK
cal_ensemble_hype_abc@HYPE,KGE,macos_p3repro,0.686033,wsl,0.686033,0.000000,OK
cal_ensemble_hype_basin_hopping@HYPE,KGE,macos_p3repro,0.355703,wsl,0.355705,0.000003,OK
cal_ensemble_hype_bayesian_opt@HYPE,KGE,macos_p3repro,0.474379,wsl,0.474379,0.000000,OK
cal_ensemble_hype_cmaes@HYPE,KGE,macos_p3repro,0.813324,wsl,0.690405,0.122919,DIFF
forcing_ensemble_aorc@SUMMA,RMSE,macos_p3repro,-386.547263,wsl,-386.303051,0.244212,OK
forcing_ensemble_conus404@SUMMA,RMSE,macos_p3repro,-305.397508,wsl,-306.164913,0.767405,OK
forcing_ensemble_rdrs@SUMMA,RMSE,macos_p3repro,-202.854354,wsl,-211.913747,9.059394,DIFF
run_1@CRHM,KGE,macos_p3repro,0.930446,wsl,0.929350,0.001096,OK
run_1@FUSE,KGE,macos_p3repro,0.939322,wsl,0.940298,0.000976,OK
run_1@GSFLOW,KGE,macos_p3repro,0.863662,wsl,0.800698,0.062965,DIFF
run_1@HBV,KGE,macos_p3repro,0.891596,wsl,0.887254,0.004341,OK
run_1@HECHMS,KGE,macos_p3repro,0.854470,wsl,0.852517,0.001954,OK
run_1@SUMMA,KGE,macos_p3repro,0.893597,wsl,0.791400,0.102197,DIFF
run_1@SWAT,KGE,macos_p3repro,0.792790,wsl,0.781713,0.011077,OK
run_1@TOPMODEL,KGE,macos_p3repro,0.908749,wsl,0.249182,0.659567,DIFF
run_1@XINANJIANG,KGE,macos_p3repro,0.931094,wsl,0.427828,0.503266,DIFF
exp04-top-tier-mean-calib-KGE,reference,macos,0.870514,paper,0.847..0.892,,OK
exp04-sacsma-bayesopt-fails,reference,macos,-0.145077,paper,-10.000..0.300,,OK
