experiment_id,domain,metric,best_score,best_iteration,collected_at
bow_exp3_joint,domain_Bow_at_Banff_multivar,KGE,0.8429568879,50,2026-07-19T18:02:35Z
bow_exp4_moead_joint,domain_Bow_at_Banff_multivar,KGE,0.8587632743,9,2026-07-19T18:02:35Z
cal_ensemble_fuse_abc,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8705254793,3,2026-07-19T18:02:35Z
cal_ensemble_fuse_basin_hopping,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8625203967,17,2026-07-19T18:02:35Z
cal_ensemble_fuse_bayesian_opt,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8355669379,43,2026-07-19T18:02:35Z
cal_ensemble_fuse_cmaes,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9090390801,41,2026-07-19T18:02:35Z
cal_ensemble_fuse_dds,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9096380472,762,2026-07-19T18:02:35Z
cal_ensemble_fuse_de,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9084877968,50,2026-07-19T18:02:35Z
cal_ensemble_fuse_dream,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8727130294,2,2026-07-19T18:02:35Z
cal_ensemble_fuse_ga,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8872084022,50,2026-07-19T18:02:35Z
cal_ensemble_fuse_glue,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8514688015,7,2026-07-19T18:02:35Z
cal_ensemble_fuse_moead,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9046043158,20,2026-07-19T18:02:35Z
cal_ensemble_fuse_nelder_mead,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8949873447,998,2026-07-19T18:02:35Z
cal_ensemble_fuse_nsga2,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8981915712,19,2026-07-19T18:02:35Z
cal_ensemble_fuse_pso,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9103204608,49,2026-07-19T18:02:35Z
cal_ensemble_fuse_sa,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8919300437,41,2026-07-19T18:02:35Z
cal_ensemble_fuse_sceua,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8908180594,5,2026-07-19T18:02:35Z
cal_ensemble_hbv_abc,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8881217035,10,2026-07-19T18:02:35Z
cal_ensemble_hbv_adam,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9372688532,152,2026-07-19T18:02:35Z
cal_ensemble_hbv_basin_hopping,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9004938319,3,2026-07-19T18:02:35Z
cal_ensemble_hbv_bayesian_opt,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8918683071,30,2026-07-19T18:02:35Z
cal_ensemble_hbv_cmaes,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9179882462,45,2026-07-19T18:02:35Z
cal_ensemble_hbv_dds,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9383386175,871,2026-07-19T18:02:35Z
cal_ensemble_hbv_de,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9090824481,30,2026-07-19T18:02:35Z
cal_ensemble_hbv_dream,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9078622341,20,2026-07-19T18:02:35Z
cal_ensemble_hbv_ga,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9179391085,50,2026-07-19T18:02:35Z
cal_ensemble_hbv_glue,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9070656518,1,2026-07-19T18:02:35Z
cal_ensemble_hbv_lbfgs,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9153503711,124,2026-07-19T18:02:35Z
cal_ensemble_hbv_moead,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9271690408,19,2026-07-19T18:02:35Z
cal_ensemble_hbv_nelder_mead,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9422489696,999,2026-07-19T18:02:35Z
cal_ensemble_hbv_nsga2,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.7261799528,0,2026-07-19T18:02:35Z
cal_ensemble_hbv_pso,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9291632175,45,2026-07-19T18:02:35Z
cal_ensemble_hbv_sa,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9157386848,96,2026-07-19T18:02:35Z
cal_ensemble_hbv_sceua,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9161990579,7,2026-07-19T18:02:35Z
cal_ensemble_hechms_abc,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8510982763,14,2026-07-19T18:02:35Z
cal_ensemble_hechms_adam,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8941690326,463,2026-07-19T18:02:35Z
cal_ensemble_hechms_basin_hopping,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8295194627,14,2026-07-19T18:02:35Z
cal_ensemble_hechms_bayesian_opt,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.6584035797,42,2026-07-19T18:02:35Z
cal_ensemble_hechms_cmaes,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8787984915,50,2026-07-19T18:02:35Z
cal_ensemble_hechms_dds,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9069368219,975,2026-07-19T18:02:35Z
cal_ensemble_hechms_de,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9127301252,49,2026-07-19T18:02:35Z
cal_ensemble_hechms_dream,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8330177411,7,2026-07-19T18:02:35Z
cal_ensemble_hechms_ga,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8408988972,50,2026-07-19T18:02:35Z
cal_ensemble_hechms_glue,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.7419959709,4,2026-07-19T18:02:35Z
cal_ensemble_hechms_lbfgs,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8591157899,124,2026-07-19T18:02:35Z
cal_ensemble_hechms_moead,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8921222469,20,2026-07-19T18:02:35Z
cal_ensemble_hechms_nelder_mead,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.900696312,996,2026-07-19T18:02:35Z
cal_ensemble_hechms_nsga2,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8762709471,20,2026-07-19T18:02:35Z
cal_ensemble_hechms_pso,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8906192369,50,2026-07-19T18:02:35Z
