experiment_id,model,domain,metric,best_score,eval_score,best_iteration,run_completed,symfluence_version,code_commit,collected_at
bow_exp3_joint@SUMMA,SUMMA,domain_Bow_at_Banff_multivar,KGE,0.8626286646,0.841755568,50,2026-07-25T10:27:31Z,0.9.2,33d85017,2026-07-27T01:15:54Z
cal_ensemble_fuse_abc@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8705254329,0.8347307884,3,2026-07-23T18:36:58Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_basin_hopping@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8483252148,0.8599253506,17,2026-07-23T20:23:41Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_bayesian_opt@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.835566928,0.8334803553,43,2026-07-23T21:39:18Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_cmaes@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9084271382,0.862923622,45,2026-07-23T22:44:24Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_dds@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.909638056,0.8460569672,762,2026-07-23T23:45:01Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_de@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9084878086,0.8656107428,50,2026-07-24T01:33:18Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_dream@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.872713008,0.8364937153,2,2026-07-24T02:48:52Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_ga@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8607053613,0.8309959988,50,2026-07-24T04:04:47Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_glue@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8514687723,0.8580605881,7,2026-07-24T05:04:41Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_moead@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8925115589,0.8443777244,20,2026-07-24T06:07:19Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_nelder_mead@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8950900937,0.8506163979,985,2026-07-24T07:56:02Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
cal_ensemble_fuse_nsga2@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8873907955,0.8502694686,20,2026-07-24T09:03:21Z,0.9.2,93ec8019,2026-07-24T21:01:32Z
